Era 1
Expected : window, 		Predicted : window, 		Log of likelihood : -74.14
Expected : window, 		Predicted : window, 		Log of likelihood : -54.15
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -61.71
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -53.15
Expected : window, 		Predicted : window, 		Log of likelihood : -57.32
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -56.80
Expected : brickface, 		Predicted : window, 		Log of likelihood : -57.97
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -57.13
Expected : brickface, 		Predicted : window, 		Log of likelihood : -57.24
Expected : path, 		Predicted : path, 		Log of likelihood : -64.26
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -55.00
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -68.71
Expected : path, 		Predicted : path, 		Log of likelihood : -54.89
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -53.25
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -54.13
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -53.52
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -53.96
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -54.99
Expected : brickface, 		Predicted : window, 		Log of likelihood : -57.57
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -54.04
Expected : brickface, 		Predicted : window, 		Log of likelihood : -58.37
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -54.26
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -53.81
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -64.18
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -60.37
Expected : path, 		Predicted : path, 		Log of likelihood : -55.39
Expected : window, 		Predicted : window, 		Log of likelihood : -57.41
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -56.80
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -60.68
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -57.37
Expected : brickface, 		Predicted : window, 		Log of likelihood : -59.01
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -54.98
Expected : path, 		Predicted : window, 		Log of likelihood : -63.76
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -67.04
Expected : window, 		Predicted : window, 		Log of likelihood : -55.85
Expected : window, 		Predicted : window, 		Log of likelihood : -55.52
Expected : window, 		Predicted : brickface, 		Log of likelihood : -55.59
Expected : window, 		Predicted : window, 		Log of likelihood : -55.47
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -55.60
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -57.45
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -53.49
Expected : window, 		Predicted : brickface, 		Log of likelihood : -55.61
Expected : path, 		Predicted : path, 		Log of likelihood : -54.53
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -57.52
Expected : window, 		Predicted : brickface, 		Log of likelihood : -90.46
Expected : window, 		Predicted : window, 		Log of likelihood : -55.77
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -55.93
Expected : window, 		Predicted : brickface, 		Log of likelihood : -83.19
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -56.02
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -54.13
Expected : window, 		Predicted : brickface, 		Log of likelihood : -54.33
Expected : window, 		Predicted : brickface, 		Log of likelihood : -94.97
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -53.22
Expected : window, 		Predicted : brickface, 		Log of likelihood : -99.84
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -55.94
Expected : window, 		Predicted : window, 		Log of likelihood : -109.21
Expected : brickface, 		Predicted : window, 		Log of likelihood : -58.25
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -60.99
Expected : window, 		Predicted : brickface, 		Log of likelihood : -111.77
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -59.40
Expected : brickface, 		Predicted : window, 		Log of likelihood : -90.26
Expected : brickface, 		Predicted : window, 		Log of likelihood : -57.19
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -53.12
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -53.32
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -55.03
Expected : window, 		Predicted : brickface, 		Log of likelihood : -58.89
Expected : window, 		Predicted : window, 		Log of likelihood : -75.17
Expected : brickface, 		Predicted : window, 		Log of likelihood : -65.51
Expected : brickface, 		Predicted : window, 		Log of likelihood : -58.23
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -55.86
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -53.77
Expected : window, 		Predicted : window, 		Log of likelihood : -54.68
Expected : window, 		Predicted : window, 		Log of likelihood : -109.21
Expected : window, 		Predicted : window, 		Log of likelihood : -54.32
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -59.53
Expected : brickface, 		Predicted : window, 		Log of likelihood : -58.19
Expected : window, 		Predicted : brickface, 		Log of likelihood : -58.55
Expected : brickface, 		Predicted : window, 		Log of likelihood : -58.17
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -53.59
Expected : window, 		Predicted : window, 		Log of likelihood : -55.97
Expected : window, 		Predicted : window, 		Log of likelihood : -55.52
Expected : brickface, 		Predicted : window, 		Log of likelihood : -54.98
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -55.15
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -55.02
Expected : window, 		Predicted : window, 		Log of likelihood : -54.43
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -53.60
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -61.43
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -62.01
Expected : path, 		Predicted : path, 		Log of likelihood : -54.29
Expected : window, 		Predicted : brickface, 		Log of likelihood : -102.35
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -55.91
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -54.49
Expected : window, 		Predicted : window, 		Log of likelihood : -66.02
Expected : brickface, 		Predicted : window, 		Log of likelihood : -56.50
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -61.08
Expected : window, 		Predicted : brickface, 		Log of likelihood : -95.41
Expected : window, 		Predicted : brickface, 		Log of likelihood : -56.11
Expected : brickface, 		Predicted : window, 		Log of likelihood : -58.14
Expected : window, 		Predicted : window, 		Log of likelihood : -54.05
Expected : brickface, 		Predicted : path, 		Log of likelihood : -72.43
Expected : path, 		Predicted : path, 		Log of likelihood : -56.20
Expected : window, 		Predicted : window, 		Log of likelihood : -54.15
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -61.71
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -53.15
Expected : window, 		Predicted : window, 		Log of likelihood : -57.32
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -56.80
Expected : brickface, 		Predicted : window, 		Log of likelihood : -57.97
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -57.13
Expected : brickface, 		Predicted : window, 		Log of likelihood : -57.24
Expected : path, 		Predicted : path, 		Log of likelihood : -64.26
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -55.00
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -68.71
Expected : path, 		Predicted : path, 		Log of likelihood : -54.89
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -53.25
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -54.13
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -53.52
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -53.96
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -54.99
Expected : brickface, 		Predicted : window, 		Log of likelihood : -57.57
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -54.04
Expected : brickface, 		Predicted : window, 		Log of likelihood : -58.37
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -54.26
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -53.81
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -64.18
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -60.37
Expected : path, 		Predicted : path, 		Log of likelihood : -55.39
Expected : window, 		Predicted : window, 		Log of likelihood : -57.41
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -56.80
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -60.68
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -57.37
Expected : brickface, 		Predicted : window, 		Log of likelihood : -59.01


Era 17
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -54.33
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -55.41
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -54.30
Expected : window, 		Predicted : window, 		Log of likelihood : -60.41
Expected : window, 		Predicted : window, 		Log of likelihood : -56.20
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -53.95
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -57.43
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -53.54
Expected : window, 		Predicted : window, 		Log of likelihood : -57.00
Expected : window, 		Predicted : window, 		Log of likelihood : -55.20
Expected : window, 		Predicted : window, 		Log of likelihood : -57.82
Expected : path, 		Predicted : path, 		Log of likelihood : -62.19
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -58.82
Expected : window, 		Predicted : window, 		Log of likelihood : -59.50
Expected : window, 		Predicted : window, 		Log of likelihood : -57.73
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -57.48
Expected : brickface, 		Predicted : window, 		Log of likelihood : -60.36
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -53.66
Expected : path, 		Predicted : path, 		Log of likelihood : -54.86
Expected : path, 		Predicted : path, 		Log of likelihood : -55.14
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -57.02
Expected : window, 		Predicted : window, 		Log of likelihood : -57.82
Expected : window, 		Predicted : window, 		Log of likelihood : -66.90
Expected : brickface, 		Predicted : window, 		Log of likelihood : -58.81
Expected : window, 		Predicted : window, 		Log of likelihood : -57.29
Expected : window, 		Predicted : brickface, 		Log of likelihood : -55.56
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -53.91
Expected : window, 		Predicted : window, 		Log of likelihood : -57.15
Expected : window, 		Predicted : window, 		Log of likelihood : -57.58
Expected : window, 		Predicted : window, 		Log of likelihood : -58.01
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -62.38
Expected : window, 		Predicted : window, 		Log of likelihood : -57.12
Expected : brickface, 		Predicted : window, 		Log of likelihood : -57.42
Expected : window, 		Predicted : brickface, 		Log of likelihood : -54.43
Expected : brickface, 		Predicted : window, 		Log of likelihood : -59.28
Expected : path, 		Predicted : path, 		Log of likelihood : -61.42
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -57.76
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -54.92
Expected : window, 		Predicted : window, 		Log of likelihood : -57.91
Expected : window, 		Predicted : brickface, 		Log of likelihood : -57.71
Expected : brickface, 		Predicted : window, 		Log of likelihood : -61.07
Expected : brickface, 		Predicted : window, 		Log of likelihood : -68.94
Expected : window, 		Predicted : brickface, 		Log of likelihood : -53.70
Expected : window, 		Predicted : window, 		Log of likelihood : -55.75
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -54.16
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -60.08
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -59.60
Expected : window, 		Predicted : brickface, 		Log of likelihood : -55.09
Expected : window, 		Predicted : window, 		Log of likelihood : -69.08
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -63.95
Expected : brickface, 		Predicted : window, 		Log of likelihood : -62.18
Expected : brickface, 		Predicted : window, 		Log of likelihood : -58.77
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -54.74
Expected : brickface, 		Predicted : window, 		Log of likelihood : -58.83
Expected : brickface, 		Predicted : window, 		Log of likelihood : -58.52
Expected : brickface, 		Predicted : path, 		Log of likelihood : -53.97
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -53.10
Expected : path, 		Predicted : path, 		Log of likelihood : -56.95
Expected : window, 		Predicted : window, 		Log of likelihood : -59.82
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -52.88
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -54.77
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -58.63
Expected : window, 		Predicted : window, 		Log of likelihood : -68.77
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -56.14
Expected : brickface, 		Predicted : window, 		Log of likelihood : -61.00
Expected : brickface, 		Predicted : window, 		Log of likelihood : -68.11
Expected : window, 		Predicted : window, 		Log of likelihood : -57.34
Expected : path, 		Predicted : path, 		Log of likelihood : -56.66
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -54.19
Expected : window, 		Predicted : window, 		Log of likelihood : -59.74
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -54.64
Expected : brickface, 		Predicted : window, 		Log of likelihood : -59.60
Expected : window, 		Predicted : brickface, 		Log of likelihood : -53.87
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -54.14
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -59.27
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -57.69
Expected : path, 		Predicted : path, 		Log of likelihood : -56.31
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -53.79
Expected : window, 		Predicted : window, 		Log of likelihood : -57.97
Expected : window, 		Predicted : window, 		Log of likelihood : -55.97
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -59.41
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -61.23
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -63.45
Expected : window, 		Predicted : window, 		Log of likelihood : -59.04
Expected : window, 		Predicted : window, 		Log of likelihood : -61.79
Expected : window, 		Predicted : window, 		Log of likelihood : -63.30
Expected : window, 		Predicted : window, 		Log of likelihood : -60.29
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -70.59
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -54.60
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -54.23
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -52.89
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -56.40
Expected : brickface, 		Predicted : window, 		Log of likelihood : -60.35
Expected : brickface, 		Predicted : window, 		Log of likelihood : -60.47
Expected : window, 		Predicted : window, 		Log of likelihood : -57.19
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -56.45
Expected : brickface, 		Predicted : window, 		Log of likelihood : -56.65
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -54.28
Expected : window, 		Predicted : window, 		Log of likelihood : -58.08
Expected : brickface, 		Predicted : window, 		Log of likelihood : -59.82
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -54.33
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -55.41
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -54.30
Expected : window, 		Predicted : window, 		Log of likelihood : -60.41
Expected : window, 		Predicted : window, 		Log of likelihood : -56.20
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -53.95
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -57.43
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -53.54
Expected : window, 		Predicted : window, 		Log of likelihood : -57.00
Expected : window, 		Predicted : window, 		Log of likelihood : -55.20
Expected : window, 		Predicted : window, 		Log of likelihood : -57.82
Expected : path, 		Predicted : path, 		Log of likelihood : -62.19
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -58.82
Expected : window, 		Predicted : window, 		Log of likelihood : -59.50
Expected : window, 		Predicted : window, 		Log of likelihood : -57.73
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -57.48
Expected : brickface, 		Predicted : window, 		Log of likelihood : -60.36
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -53.66
Expected : path, 		Predicted : path, 		Log of likelihood : -54.86
Expected : path, 		Predicted : path, 		Log of likelihood : -55.14
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -57.02
Expected : window, 		Predicted : window, 		Log of likelihood : -57.82
Expected : window, 		Predicted : window, 		Log of likelihood : -66.90
Expected : brickface, 		Predicted : window, 		Log of likelihood : -58.81
Expected : window, 		Predicted : window, 		Log of likelihood : -57.29
Expected : window, 		Predicted : brickface, 		Log of likelihood : -55.56
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -53.91
Expected : window, 		Predicted : window, 		Log of likelihood : -57.15
Expected : window, 		Predicted : window, 		Log of likelihood : -57.58
Expected : window, 		Predicted : window, 		Log of likelihood : -58.01
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -62.38
Expected : window, 		Predicted : window, 		Log of likelihood : -57.12
Expected : brickface, 		Predicted : window, 		Log of likelihood : -57.42
Expected : window, 		Predicted : brickface, 		Log of likelihood : -54.43
Expected : brickface, 		Predicted : window, 		Log of likelihood : -59.28
Expected : path, 		Predicted : path, 		Log of likelihood : -61.42
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -57.76
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -54.92
Expected : window, 		Predicted : window, 		Log of likelihood : -57.91
Expected : window, 		Predicted : brickface, 		Log of likelihood : -57.71
Expected : brickface, 		Predicted : window, 		Log of likelihood : -61.07
Expected : brickface, 		Predicted : window, 		Log of likelihood : -68.94
Expected : window, 		Predicted : brickface, 		Log of likelihood : -53.70
Expected : window, 		Predicted : window, 		Log of likelihood : -55.75
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -54.16
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -60.08
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -59.60
Expected : window, 		Predicted : brickface, 		Log of likelihood : -55.09
Expected : window, 		Predicted : window, 		Log of likelihood : -69.08
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -63.95
Expected : brickface, 		Predicted : window, 		Log of likelihood : -62.18
Expected : brickface, 		Predicted : window, 		Log of likelihood : -58.77
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -54.74
Expected : brickface, 		Predicted : window, 		Log of likelihood : -58.83
Expected : brickface, 		Predicted : window, 		Log of likelihood : -58.52
Expected : brickface, 		Predicted : path, 		Log of likelihood : -53.97
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -53.10
Expected : path, 		Predicted : path, 		Log of likelihood : -56.95
Expected : window, 		Predicted : window, 		Log of likelihood : -59.82
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -52.88
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -54.77
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -58.63
Expected : window, 		Predicted : window, 		Log of likelihood : -68.77
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -56.14
Expected : brickface, 		Predicted : window, 		Log of likelihood : -61.00
Expected : brickface, 		Predicted : window, 		Log of likelihood : -68.11
Expected : window, 		Predicted : window, 		Log of likelihood : -57.34
Expected : path, 		Predicted : path, 		Log of likelihood : -56.66
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -54.19
Expected : window, 		Predicted : window, 		Log of likelihood : -59.74
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -54.64
Expected : brickface, 		Predicted : window, 		Log of likelihood : -59.60
Expected : window, 		Predicted : brickface, 		Log of likelihood : -53.87
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -54.14
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -59.27
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -57.69
Expected : path, 		Predicted : path, 		Log of likelihood : -56.31
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -53.79
Expected : window, 		Predicted : window, 		Log of likelihood : -57.97
Expected : window, 		Predicted : window, 		Log of likelihood : -55.97
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -59.41
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -61.23
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -63.45
Expected : window, 		Predicted : window, 		Log of likelihood : -59.04
Expected : window, 		Predicted : window, 		Log of likelihood : -61.79
Expected : window, 		Predicted : window, 		Log of likelihood : -63.30
Expected : window, 		Predicted : window, 		Log of likelihood : -60.29
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -70.59
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -54.60
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -54.23
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -52.89
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -56.40
Expected : brickface, 		Predicted : window, 		Log of likelihood : -60.35
Expected : brickface, 		Predicted : window, 		Log of likelihood : -60.47
Expected : window, 		Predicted : window, 		Log of likelihood : -57.19
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -56.45
Expected : brickface, 		Predicted : window, 		Log of likelihood : -56.65
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -54.28
Expected : window, 		Predicted : window, 		Log of likelihood : -58.08
Expected : brickface, 		Predicted : window, 		Log of likelihood : -59.82
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -54.33
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -55.41
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -54.30
Expected : window, 		Predicted : window, 		Log of likelihood : -60.41
Expected : window, 		Predicted : window, 		Log of likelihood : -56.20
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -53.95
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -57.43
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -53.54
Expected : window, 		Predicted : window, 		Log of likelihood : -57.00
Expected : window, 		Predicted : window, 		Log of likelihood : -55.20
Expected : window, 		Predicted : window, 		Log of likelihood : -57.82
Expected : path, 		Predicted : path, 		Log of likelihood : -62.19
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -58.82
Expected : window, 		Predicted : window, 		Log of likelihood : -59.50
Expected : window, 		Predicted : window, 		Log of likelihood : -57.73
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -57.48
Expected : brickface, 		Predicted : window, 		Log of likelihood : -60.36
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -53.66
Expected : path, 		Predicted : path, 		Log of likelihood : -54.86
Expected : path, 		Predicted : path, 		Log of likelihood : -55.14
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -57.02
Expected : window, 		Predicted : window, 		Log of likelihood : -57.82
Expected : window, 		Predicted : window, 		Log of likelihood : -66.90
Expected : brickface, 		Predicted : window, 		Log of likelihood : -58.81
Expected : window, 		Predicted : window, 		Log of likelihood : -57.29
Expected : window, 		Predicted : brickface, 		Log of likelihood : -55.56
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -53.91
Expected : window, 		Predicted : window, 		Log of likelihood : -57.15
Expected : window, 		Predicted : window, 		Log of likelihood : -57.58
Expected : window, 		Predicted : window, 		Log of likelihood : -58.01
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -62.38
Expected : window, 		Predicted : window, 		Log of likelihood : -57.12
Expected : brickface, 		Predicted : window, 		Log of likelihood : -57.42
Expected : window, 		Predicted : brickface, 		Log of likelihood : -54.43
Expected : brickface, 		Predicted : window, 		Log of likelihood : -59.28
Expected : path, 		Predicted : path, 		Log of likelihood : -61.42
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -57.76
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -54.92
Expected : window, 		Predicted : window, 		Log of likelihood : -57.91
Expected : window, 		Predicted : brickface, 		Log of likelihood : -57.71
Expected : brickface, 		Predicted : window, 		Log of likelihood : -61.07
Expected : brickface, 		Predicted : window, 		Log of likelihood : -68.94
Expected : window, 		Predicted : brickface, 		Log of likelihood : -53.70
Expected : window, 		Predicted : window, 		Log of likelihood : -55.75
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -54.16
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -60.08
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -59.60
Expected : window, 		Predicted : brickface, 		Log of likelihood : -55.09
Expected : window, 		Predicted : window, 		Log of likelihood : -69.08
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -63.95
Expected : brickface, 		Predicted : window, 		Log of likelihood : -62.18
Expected : brickface, 		Predicted : window, 		Log of likelihood : -58.77
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -54.74
Expected : brickface, 		Predicted : window, 		Log of likelihood : -58.83
Expected : brickface, 		Predicted : window, 		Log of likelihood : -58.52
Expected : brickface, 		Predicted : path, 		Log of likelihood : -53.97
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -53.10
Expected : path, 		Predicted : path, 		Log of likelihood : -56.95
Expected : window, 		Predicted : window, 		Log of likelihood : -59.82
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -52.88
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -54.77
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -58.63
Expected : window, 		Predicted : window, 		Log of likelihood : -68.77
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -56.14
Expected : brickface, 		Predicted : window, 		Log of likelihood : -61.00
Expected : brickface, 		Predicted : window, 		Log of likelihood : -68.11
Expected : window, 		Predicted : window, 		Log of likelihood : -57.34
Expected : path, 		Predicted : path, 		Log of likelihood : -56.66
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -54.19
Expected : window, 		Predicted : window, 		Log of likelihood : -59.74
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -54.64
Expected : brickface, 		Predicted : window, 		Log of likelihood : -59.60
Expected : window, 		Predicted : brickface, 		Log of likelihood : -53.87
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -54.14
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -59.27
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -57.69
Expected : path, 		Predicted : path, 		Log of likelihood : -56.31
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -53.79
Expected : window, 		Predicted : window, 		Log of likelihood : -57.97
Expected : window, 		Predicted : window, 		Log of likelihood : -55.97
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -59.41
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -61.23
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -63.45
Expected : window, 		Predicted : window, 		Log of likelihood : -59.04
Expected : window, 		Predicted : window, 		Log of likelihood : -61.79
Expected : window, 		Predicted : window, 		Log of likelihood : -63.30
Expected : window, 		Predicted : window, 		Log of likelihood : -60.29
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -70.59
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -54.60
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -54.23
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -52.89
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -56.40
Expected : brickface, 		Predicted : window, 		Log of likelihood : -60.35
Expected : brickface, 		Predicted : window, 		Log of likelihood : -60.47
Expected : window, 		Predicted : window, 		Log of likelihood : -57.19
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -56.45
Expected : brickface, 		Predicted : window, 		Log of likelihood : -56.65
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -54.28
Expected : window, 		Predicted : window, 		Log of likelihood : -58.08
Expected : brickface, 		Predicted : window, 		Log of likelihood : -59.82


Era 18
Expected : brickface, 		Predicted : brickface, 		Log of likelihood : -52.82
Expected : window, 		Predicted : window, 		Log of likelihood : -56.40
Expected : window, 		Predicted : window, 		Log of likelihood : -56.33
